Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-12-03 13:15:00+05:30,154.9700012,155,154.3999939,154.7299957,95767,0,0
2025-12-03 14:15:00+05:30,154.6999969,155.4900055,154.3099976,155.4900055,221607,0,0
2025-12-03 15:15:00+05:30,155.3899994,155.3999939,154.6999969,154.8099976,90986,0,0
2025-12-04 09:15:00+05:30,155.25,155.3899994,153.9400024,154.9299927,0,0,0
2025-12-04 10:15:00+05:30,154.9199982,155.4499969,154.6499939,154.75,122370,0,0
2025-12-04 11:15:00+05:30,154.75,155,154.5,154.9499969,89077,0,0
2025-12-04 12:15:00+05:30,154.8399963,154.9900055,154.3099976,154.5899963,45989,0,0
2025-12-04 13:15:00+05:30,154.5,154.6000061,153.8999939,154.3600006,95472,0,0
2025-12-04 14:15:00+05:30,154.3800049,154.5399933,154,154.3999939,115337,0,0
2025-12-04 15:15:00+05:30,154.3999939,154.4299927,153.8000031,154.2200012,99144,0,0
2025-12-05 09:15:00+05:30,154,154,151.4199982,152.0599976,0,0,0
2025-12-05 10:15:00+05:30,152.0599976,152.6600037,151.3600006,152.5200043,135395,0,0
2025-12-05 11:15:00+05:30,152.5399933,152.6000061,151.6000061,151.6000061,81195,0,0
2025-12-05 12:15:00+05:30,151.5200043,151.8200073,151.4299927,151.6100006,68226,0,0
2025-12-05 13:15:00+05:30,151.6499939,151.9900055,151.4600067,151.5099945,80208,0,0
2025-12-05 14:15:00+05:30,151.5200043,151.8500061,150.9299927,151.5500031,219927,0,0
2025-12-05 15:15:00+05:30,151.6499939,151.8699951,151.3999939,151.6999969,111552,0,0
2025-12-08 09:15:00+05:30,151.1100006,151.6999969,149.1600037,149.3500061,0,0,0
2025-12-08 10:15:00+05:30,149.6100006,150,148.5,148.5,218819,0,0
2025-12-08 11:15:00+05:30,148.5700073,148.8600006,148.1900024,148.3899994,136686,0,0
2025-12-08 12:15:00+05:30,148.3899994,148.3899994,147.3899994,147.6900024,215279,0,0
2025-12-08 13:15:00+05:30,147.6499939,147.6499939,146.2100067,146.7200012,250280,0,0
2025-12-08 14:15:00+05:30,146.6900024,147.6000061,145.8300018,147.0200043,376955,0,0
2025-12-08 15:15:00+05:30,147.1100006,147.1600037,146.2100067,146.6999969,211217,0,0
2025-12-09 09:15:00+05:30,145.7799988,146.5800018,143.5,146.2700043,0,0,0
2025-12-09 10:15:00+05:30,146.3500061,148.5,146.3500061,148.2400055,509588,0,0
2025-12-09 11:15:00+05:30,148.1900024,149.8000031,148,149.7799988,324753,0,0
2025-12-09 12:15:00+05:30,149.8500061,151.1900024,149.5,150.8300018,384945,0,0
2025-12-09 13:15:00+05:30,150.7400055,151.6999969,150.5,151.2700043,241298,0,0
2025-12-09 14:15:00+05:30,151.2799988,151.9400024,146.8500061,151.4499969,324614,0,0
2025-12-09 15:15:00+05:30,151.6399994,152.8699951,151,152.2700043,260570,0,0
2025-12-10 09:15:00+05:30,152.1999969,154.9299927,152.0200043,153.75,0,0,0
2025-12-10 10:15:00+05:30,153.6900024,154,152.8300018,153.0800018,209307,0,0
